Unnamed: 0,Запрос,Уточнение запроса,Тип ДБО,Вопрос,Ссылка на видео,Ссылка на вопрос в FAQ,Где используется на сайте,Шаг 1,Шаг 2,Шаг 3,Шаг 4,Шаг 5,Шаг 6,Шаг 7,Шаг 8,Шаг 9,Шаг 10,Шаг 11,Шаг 12,Шаг 13,Шаг 14
35.0,Программа лояльности,Начисления,ИБ,"Как узнать, сколько бонусов будет начислено за текущий месяц",,https://www.open.ru/faq#1586,https://www.open.ru/faq#1586,Нажмите на баланс бонусных рублей в верхней части сайта рядом с вашим именем,"В новом окне отобразится количество бонусов к начислению за текущий месяц при выполнении текущих условий, и сколько будет начислено, если будут выполнены все условия",,,,,,,,,,,,
37.0,Программа лояльности,Условия,ИБ,Как узнать текущую программу лояльности,,https://www.open.ru/faq#1588,https://www.open.ru/faq#1588,Нажмите на баланс бонусных рублей в верхней части сайта рядом с вашим именем,На открывшейся странице отобразятся текущие условия программы лояльности и баланс бонусных рублей.,,,,,,,,,,,,
39.0,Программа лояльности,Выполнение условий,ИБ,Как посмотреть статус выполнения условий по программе лояльности в текущем месяце,,https://www.open.ru/faq#1587,https://www.open.ru/faq#1587,Нажмите на баланс бонусных рублей в верхней части сайта рядом с вашим именем,На открывшейся странице отобразится выполнение условий программы лояльности в текущем месяце. Важно! Информация о выполнении условий отображается с задержкой в несколько дней.,,,,,,,,,,,,
41.0,Программа лояльности,Выбор условий,ИБ,Как выбрать или изменить условия программы лояльности,,https://www.open.ru/faq#1581,https://www.open.ru/faq#1581,Нажмите на баланс бонусных рублей в верхней части сайта рядом с вашим именем,На открывшейся странице нажмите на «Выбор условий»,Слева выберите подходящие условия программы лояльности,Нажмите «Активировать»,"В открывшемся окне отобразится дата перехода на новые условия. Подтвердите, нажав «Активировать»","Новая условия программы лояльности начнут действовать с 1-го числа следующего месяца. Нажмите «Готово».
 
 Если у вас новая карта и вы еще не успели совершить по ней никаких покупок, то условия начнут действовать уже в текущем месяце",,,,,,,,
43.0,Программа лояльности,Операции с бонусными рублями,ИБ,Как потратить бонусные рубли,,https://www.open.ru/faq#1584,"https://www.open.ru/faq#1584
 
 https://www.open.ru/sms-info#823",Нажмите на баланс бонусных рублей в верхней части сайта рядом с вашим именем,На открывшейся странице нажмите на «Потратить бонусы»,"Выберите, какую покупку вы хотите компенсировать. Чтобы просмотреть все покупки, доступные для компенсации, нажмите «Показать все». Бонусными рублями можно компенсировать покупку от 1500 рублей или услугу SMS-инфо. Компенсация покупки происходит из расчета 1 бонус = 1 рубль. это должна быть покупка от 1500 рублей или услуга SMS-инфо. Компенсация покупки происходит из расчета 1 бонус = 1 рубль",Перетащите покупку в окно «Покупка для компенсации» и нажмите «Компенсировать»,Нажмите «Ок». Покупка успешно компенсирована. Пополнение счета отобразится в операциях по карте.,,,,,,,,,
45.0,Карты,Пополнение ,ИБ,Как пополнить карту,,,https://www.open.ru/credit_cards/faq#1070,На вкладке «Мои продукты» в разделе «Карты» выберите нужную карту и нажмите «Пополнить».,Выберите способ пополнения: с карты другого банка или со своей карты или счета.,"Укажите, с какой карты или счета списать деньги. Введите сумму пополнения и нажмите «Перевести».",Введите SMS-код для подтверждения.,"Если операция прошла успешно, вы попадете на экран с подтверждением перевода.","Перевод принят в обработку. Обратите внимание, при пополнении с карты другого банка деньги могут идти в течение нескольких дней.",,,,,,,,
47.0,Карты,Пополнение ,ИБ,Как пополнить карту со своей карты или счета,,,,На вкладке «Мои продукты» в разделе «Карты» выберите карту и нажмите «Пополнить».,Выберите «Со своей карты или счета».,"Выберите карту или счет, откуда хотите пополнить, и куда зачислить деньги. Введите сумму перевода. Нажмите «Перевести».",Нажмите «Подтвердить».,"Перевод принят в обработку. Вы можете повторить платеж, создать шаблон, автоплатеж или посмотреть квитанцию.",,,,,,,,,
49.0,Карты,Пополнение ,ИБ,Как пополнить карту с карты другого банка,,,,На вкладке «Мои продукты» в разделе «Карты» выберите карту и нажмите «Пополнить».,Выберите «С карты другого банка».,"Введите номер карты, срок действия карты и СVC/CVV, выберите карту для зачисления, введите сумму, нажмите «Перевести»",Введите SMS-код для подтверждения,"Если операция прошла успешно, вы попадете на экран с подтверждением перевода.",Перевод принят в обработку.,,,,,,,,
51.0,Карты других банков,Добавление,ИБ,Как добавить карту других банков,,,,На вкладке «Мои продукты» в разделе «Карты» нажмите «Добавить карту другого банка».,"Введите номер карты, срок действия, придумайте название и нажмите «Добавить карту».",Карта успешно добавлена,Карта отобразится на вкладке «Мои продукты» в разделе «Карты»,,,,,,,,,,
53.0,Карты других банков,Пополнение ,ИБ,Как пополнить привязанную карту другого банка,,,,На вкладке «Мои продукты» в разделе «Карты» выберите карту другого банка и нажмите «Пополнить».,"Выберите откуда будете переводить деньги, введите сумму перевода и нажмите «Перевести».",Введите SMS-код для подтверждения,Перевод принят в обработку,,,,,,,,,,
55.0,Кредиты,Выплаченная задолженность,ИБ,Как узнать уже выплаченую сумму по кредиту,,https://www.open.ru/credits/faq#952,https://www.open.ru/how-repay?faq=credits#1200,На вкладке «Мои продукты» в разделе «Кредиты» найдите нужный кредит.,Выпплаченная сумма задолженности по кредиту указана под шкалой прогресса.,,,,,,,,,,,,
57.0,Кредиты,Дата платежа,ИБ,Как узнать дату следующего ежемесячного платежа по кредиту,,https://www.open.ru/credits/faq#953,https://www.open.ru/how-repay?faq=credits#1201,На вкладке «Мои продукты» в разделе «Кредиты» найдите нужный кредит.,Дата следующего ежемесячного платежа по кредиту указана над шкалой прогресса.,,,,,,,,,,,,
59.0,Кредиты,Сумма платежа ,ИБ,Как узнать сумму следующего платежа по кредиту,,https://www.open.ru/credits/faq#954,https://www.open.ru/how-repay?faq=credits#1202,На вкладке «Мои продукты» в разделе «Кредиты» найдите нужный кредит.,Сумма следующего ежемесячного платежа по кредиту указана над шкалой прогресса,,,,,,,,,,,,
61.0,Кредиты,Процентная ставка,ИБ,Как узнать процентную ставку по кредиту,,https://www.open.ru/credits/faq#955,https://www.open.ru/how-repay?faq=credits#1203,На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный кредит,Процентная ставка и срок кредита указаны под названием кредита,,,,,,,,,,,,
63.0,Кредиты,Остаток задолженности,ИБ,"Как узнать, сколько осталось выплатить по кредиту/ Какую сумму осталось выплатить по кредиту",,https://www.open.ru/credits/faq#951,"https://mobile.open.ru#1116
 https://www.open.ru/how-repay?faq=credits#1199",На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный кредит,Сумма к погашению указана справа от названия кредита,,,,,,,,,,,,
65.0,Кредиты,Внесение платежа,ИБ,Как внести платеж по кредиту,,https://www.open.ru/credits/faq#958,"https://www.open.ru/important#1086
 https://www.open.ru/how-repay?faq=credits#1206",На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный кредит и нажмите «Внести»,"Введите данные карты, с которой хотите пополнить, счет, сумму платежа и нажмите «Перевести»",Нажмите «Подтвердить»,"Перевод принят в обработку. Вы можете создать шаблон, автоплатеж, посмотреть квитанцию или повторить операцию",,,,,,,,,,
71.0,Кредиты,Полное досрочное погашение,ИБ,Как полностью досрочно погасить кредит,,https://www.open.ru/credits/faq#962,https://www.open.ru/how-repay?faq=credits#1210,На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный кредит и нажмите «Досрочное погашение»,Выберите вкладку «Полное»,Выберите дату полного досрочного погашения кредита и нажмите «Создать заявку»,Введите SMS-код,Заявка создана,,,,,,,,,
73.0,Кредиты,История операций,ИБ,Как посмотреть историю операций по кредиту,,https://www.open.ru/credits/faq#966,https://www.open.ru/how-repay?faq=credits#1214,"На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный кредит, нажмите «Показать операции и детали»","Ниже отобразятся все последние операции по кредиту. Чтобы посмотреть операции по счету погашения, нажмите на выделенную ссылку «по счету для погашения»","В новом окне отразятся все последние операции по счету погашения. Чтобы вернуться в операции по кредиту, нажмите на выделенную ссылку «кредиту»",,,,,,,,,,,
75.0,Кредиты,Реквизиты,ИБ,Как посмотреть реквизиты кредита,,,,На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный кредит и нажмите «О кредите»,В новом окне на вкладке «Информация» отобразятся реквизиты кредита,,,,,,,,,,,,
77.0,Кредиты,Реквизиты,ИБ,Как отправить реквизиты кредита,,,,Данную операцию можно выполнить в мобильном банке,,,,,,,,,,,,,
79.0,Кредиты,График платежей,ИБ,Как посмотреть график платежей по кредиту,,https://www.open.ru/credits/faq#960,https://www.open.ru/how-repay?faq=credits#1208,На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный кредит и нажмите «График платежей»,В новом окне появится график платежей по кредиту,,,,,,,,,,,,
81.0,Ипотека,Остаток задолженности,ИБ,"Как узнать, какую сумму осталось выплатить по ипотеке",,,,На вкладке «Мои продукты» в разделе «Кредиты» найдите нужный ипотечный кредит.,Сумма к погашению указана справа от названия ипотечного кредита,,,,,,,,,,,,
83.0,Ипотека,Внесение платежа,ИБ,Как внести платеж по ипотеке,,,,На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный ипотечный кредит и нажмите «Внести»,"Выберите карту или счет, с которой хотите внести платеж, счет для погашения кредита, сумму и нажмите «Перевести»",Нажмите «Подтвердить»,"Платеж принят в обработку. Для удобства вы можете создать шаблон, автоплатеж, посмотреть квитанцию или повторить операцию",,,,,,,,,,
87.0,Ипотека,Частичное досрочное погашение,ИБ,Как частично погасить ипотеку досрочно,,,,На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный ипотечный кредит и нажмите «Досрочное погашение»,На вкладке «Частичное» введите сумму и нажмите «Создать заявку».,Введите SMS-код для подтверждения,Заявка создана. Не забудьте пополнить счет погашения кредита на необходимую сумму до даты списания ежемесячного платежа,,,,,,,,,,
89.0,Ипотека,Полное досрочное погашение,ИБ,Как полностью погасить ипотеку досрочно,,,,На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный ипотечный кредит и нажмите «Досрочное погашение»,Выберите вкладку «Полное»,Выберите дату списания суммы полного досрочного погашения кредита. При необходимости отметьте галочкой графу «подготовить документы для снятия обременения». Нажмите «Создать заявку»,Введите SMS-код,Заявка создана,,,,,,,,,
91.0,Ипотека,Справки и выписки,ИБ,Как получить справку о выплаченных процентах по ипотеке,,https://www.open.ru/ipoteka/faq#921,https://www.open.ru/ipoteka/faq,"На вкладке «Мои продукты» в разделе «Кредиты» найдите нужный ипотечный кредит, затем нажмите «О кредите» или «Ещё»",Нажмите «Справки»,Нажмите «О выплаченных процентах».,"Выберите, за какой период оформить справку: за определенный год или за произвольный период.","Нажмите «Скачать», чтобы сохранить справку, или «Отправить по e-mail», чтобы переслать ее электронную почту.",,,,,,,,,
93.0,Ипотека,Реквизиты,ИБ,Как узнать реквизиты ипотеки,,,,На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный ипотечный кредит и нажмите «О кредите»,В новом окне отобразится информация о кредите и реквизиты,,,,,,,,,,,,
95.0,Ипотека,Реквизиты,ИБ,Как отправить реквизиты по ипотеке,,,,Данную операцию можно выполнить в мобильном банке,,,,,,,,,,,,,
97.0,Ипотека,Процентная ставка,ИБ,Как посмотреть ставку по ипотеке,,,,"На вкладке «Мои продукты» найдите ипотечный кредит, ставка по нему указана под названием кредита",,,,,,,,,,,,,
101.0,Вклады,Открытие ,ИБ,Как открыть вклад,,https://www.open.ru/deposits/faq#1165,https://www.open.ru/important#1088,На вкладке «Мои продукты» откройте раздел «Вклады» (находится под разделом «Карты»),Нажмите «Открыть новый вклад»,"Выберите валюту, сумму, срок размещения и способ начисления процентов: в конце срока вклада, в начале срока вклада или ежемесячно. Выберите тип вклада и нажмите «Выбрать»","Выберите карту для пополнения вклада, проверьте выбранные условия и нажмите «Открыть вклад»",Введите SMS-код для подтверждения операции,Запрос на открытие вклада принят в обработку. В течение нескольких минут он повится в списке ваших вкладов.,,,,,,,,
103.0,Вклады,Доход по вкладу,ИБ,Когда я получу доход по процентам вклада,,https://www.open.ru/deposits/faq#1171,,На вкладке «Мои продукты» откройте раздел «Вклады» и выберите нужный вклад. Нажмите «Показать операции и детали»,В открывшемся окне указана сумма и дата следующего зачисления процентов,,,,,,,,,,,,
105.0,Вклады,Доход по вкладу,ИБ,Сколько я получу после следующего начисления процентов по вкладу,,https://www.open.ru/deposits/faq#1172,,На вкладке «Мои продукты» откройте раздел «Вклады» и выберите нужный вклад. Нажмите «Показать операции и детали»,В открывшемся окне указана сумма и дата следующего зачисления,,,,,,,,,,,,
109.0,Вклады,Пополнение ,ИБ,Как пополнить вклад,,https://www.open.ru/deposits/faq#1174,https://www.open.ru/important#1085,"На вкладке «Мои продукты» откройте раздел «Вклады», выберите нужный вклад и нажмите «Пополнить»",Укажите «Откуда» будете пополнять вклад и «Куда» зачислить средства. Ввведите сумму и нажмите «Перевести»,Нажмите «Подтвердить»,"Перевод принят в обработку. На этом экране можно также создать шаблон, автоплатеж, посмотреть квитанцию или повторить операцию",,,,,,,,,,
113.0,Вклады,История операций,ИБ,Как посмотреть историю операций по вкладу,,https://www.open.ru/deposits/faq#1169,,"На вкладке «Мои продукты» откройте раздел «Вклады», выберите нужный вклад и нажмите «Показать операции и детали»",На открывшейся вкладке отобразятся все операции по вкладу,,,,,,,,,,,,
115.0,Вклады,Реквизиты,ИБ,Как узнать реквизиты вклада,,https://www.open.ru/deposits/faq#1185,,"На вкладке «Мои продукты» откройте раздел «Вклады», выберите нужный вклад и нажмите «Реквизиты»","В новом окне отразятся реквизиты вклада. Их можно скопировать, нажав «Скопировать все»",,,,,,,,,,,,
117.0,Вклады,Реквизиты,ИБ,Как отправить реквизиты вклада,,https://www.open.ru/deposits/faq#1186,,На вкладке «Мои продукты» откройте раздел «Вклады» и выберите нужный вклад и нажмите «Реквизиты»,"На экране появятся реквизиты вклада.
 В интернет-банке нет возможности отправки реквизитов, но их можно скопировать. Для этого нажмите «Скопировать все». Вставьте скопированные реквизиты в почту или мессенджер",,,,,,,,,,,,
119.0,Вклады,Тарифы,ИБ,Как посмотреть тариф по вкладу,,https://www.open.ru/deposits/faq#1170,,"На вкладке «Мои продукты» откройте раздел «Вклады», выберите нужный вклад и нажмите «Показать операции и детали»",Нажмите «Тариф» в верхнем левом углу,По ссылке в новом окне браузера откроется подробная информация об условиях и ставках по вкладу,,,,,,,,,,,
121.0,Вклады,Закрытие,ИБ,Как закрыть вклад,,https://www.open.ru/deposits/faq#1183,,"На вкладке «Мои продукты» откройте раздел «Вклады», выберите нужный вклад и нажмите «Закрыть вклад»","Ознакомьтесь с информацией, выберите счет для перечисления средств или откройте новый, нажмите «Закрыть вклад»",Введите SMS-код для подтверждения операции,Вклад успешно закрыт. Деньги поступят на счет в течение нескольких часов.,,,,,,,,,,
125.0,Накопительные счета,Открытие ,ИБ,Как открыть накопительный счет,,https://www.open.ru/deposits/savings_account/faq#1190,,На вкладке «Мои продукты» откройте раздел «Счета» и нажмите «Накопительные»,"Пролистайте страницу вниз, найдите поле с текстом «Накопительный – до 8% годовых» и нажмите «+»","Выберите валюту, введите сумму первоначального пополнения, выберите предполагаемый срок накопления. Нажмите «Выбрать» напротив счета (»Накопительный» или «Моя копилка»), который хотите открыть","Введите сумму пополнения, выберите источник списания средств, нажмите «Открыть счет»",Введите SMS-код для подтверждения,Накопительный счет открыт. Он появится в списке продуктов в интернет-банке через несколько минут,,,,,,,,
127.0,Накопительные счета,Пополнение ,ИБ,Как пополнить накопительный счет,,https://www.open.ru/deposits/savings_account/faq#1196,,На вкладке «Мои продукты» откройте раздел «Счета» и нажмите «Накопительные». Выберите нужный счет и нажмите «Пополнить»,"Выберите откуда будете переводить деньги для пополнения вклада и куда их зачислить, введите сумму и нажмите «Перевести»",Нажмите «Подтвердить»,"Перевод принят в обработку. Вы можете создать шаблон, автоплатеж, посмотреть квитанцию или повторить операцию",,,,,,,,,,
129.0,Накопительные счета,Баланс,ИБ,Как посмотреть баланс накопительного счета,,https://www.open.ru/deposits/savings_account/faq#1194,,На вкладке «Мои продукты» откройте раздел «Счета» и нажмите «Накопительные». Выберите нужный счет. Баланс счета указан напротив его названия,,,,,,,,,,,,,
131.0,Накопительные счета,Снятие,ИБ,Как снять средства с накопительного счета,,https://www.open.ru/deposits/savings_account/faq#1224,,На вкладке «Мои продукты» откройте раздел «Счета» и нажмите «Накопительные». Выберите нужный вклад и нажмите «Снять»,"Выберите карту или счет, на который нужно вывести средства. Нажмите «Перевести»",Нажмите «Подтвердить»,"Перевод принят в обработку. Вы можете создать шаблон, автоплатеж, посмотреть квитанцию или повторить операцию",,,,,,,,,,
133.0,Накопительные счета,Процентная ставка,ИБ,Как узнать процентную ставку накопительного счета,,https://www.open.ru/deposits/savings_account/faq#1192,https://www.open.ru/deposits/savings_account/faq,На вкладке «Мои продукты» откройте раздел «Счета» и нажмите «Накопительные». Выберите нужный вклад и нажмите «Показать операции и детали»,В открывшейся вкладке будет указана процентная ставка,,,,,,,,,,,,
135.0,Накопительные счета,История операций,ИБ,Как посмотреть операции по накопительному счету,,https://www.open.ru/deposits/savings_account/faq#1195,https://www.open.ru/deposits/savings_account/faq,Перейдите в раздел «Мои продукты».,В разделе «Счета» нажмите «Накопительные» и найдите нужный счет.,Нажмите «Показать операции и детали» — ниже отобразятся все операции по счету.,,,,,,,,,,,
137.0,Накопительные счета,Реквизиты,ИБ,Как узнать реквизиты накопительного счета,,https://www.open.ru/deposits/savings_account/faq#1236,https://www.open.ru/deposits/savings_account/faq,На вкладке «Мои продукты» откройте раздел «Счета» и нажмите «Накопительные». Выберите нужный счет и нажмите «Реквизиты»,В новом окне появятся реквизиты счета. Вы можете скопировать отдельные строки или все реквизиты счета. Для этого нажмите «Скопировать все»,,,,,,,,,,,,
139.0,Накопительные счета,Реквизиты,ИБ,Как отправить реквизиты накопительного счета,,https://www.open.ru/deposits/savings_account/faq#1238,https://www.open.ru/deposits/savings_account/faq,На вкладке «Мои продукты» откройте раздел «Счета» и нажмите «Накопительные». Выберите нужный счет и нажмите «Реквизиты»,"На экране появятся реквизиты счета
 Для копирования отдельных строк нажмите на иконку копирования справа или нажмите «Скопировать все». Вставьте реквизиты в сообщение электронной почты или мессенджер",,,,,,,,,,,,
161.0,Металлические счета,Баланс,ИБ,Как узнать баланс металлического счета,,,,"На вкладке «Мои продукты» откройте раздел «Счета», нажмите «Металлические» и выберите нужный счет. Баланс металлического счета в граммах отобразится справа от его названия","Чтобы узнать текущую стоимость остатка в рублях, нажмите на иконку вопросительного знака рядом с балансом металлического счета в граммах",,,,,,,,,,,,
163.0,Металлические счета,Пополнение ,ИБ,Как пополнить металлический счет,,,,"На вкладке «Мои продукты» откройте раздел «Счета», нажмите «Металлические»",Выберите нужный счет и нажмите «Купить»,"Укажите источник пополнения в поле «Откуда», введите сумму и нажмите «Купить»",Нажмите «Подтвердить»,"Перевод принят в обработку. Если вам нужна квитанция об операции, нажмите на иконку «Квитанция» внизу окна",,,,,,,,,
